"species","tech.rep","iron","time","cfu"
"Staphylococcus aureus",3,"Low iron","24",800
"Staphylococcus aureus",4,"Low iron","24",200
"Staphylococcus aureus",5,"Low iron","24",400
"Staphylococcus aureus",6,"Low iron","24",200
"Staphylococcus aureus",7,"Low iron","24",200
"Staphylococcus aureus",8,"Low iron","24",200
"Staphylococcus aureus",9,"Low iron","24",200
"Staphylococcus aureus",1,"High iron","24",2200000
"Staphylococcus aureus",2,"High iron","24",1400000
"Staphylococcus aureus",3,"High iron","24",2200000
"Staphylococcus aureus",4,"High iron","24",2600000
"Staphylococcus aureus",5,"High iron","24",2800000
"Staphylococcus aureus",6,"High iron","24",3200000
"Staphylococcus aureus",7,"High iron","24",2e+06
"Staphylococcus aureus",8,"High iron","24",3400000
"Staphylococcus aureus",9,"High iron","24",3e+06
"Streptococcus sanguinis",1,"Low iron","24",2.8e+08
"Streptococcus sanguinis",2,"Low iron","24",2.6e+08
"Streptococcus sanguinis",3,"Low iron","24",1.2e+08
"Streptococcus sanguinis",4,"Low iron","24",2.2e+08
"Streptococcus sanguinis",5,"Low iron","24",3.4e+08
"Streptococcus sanguinis",6,"Low iron","24",2.4e+08
"Streptococcus sanguinis",7,"Low iron","24",1.8e+08
"Streptococcus sanguinis",8,"Low iron","24",2.4e+08
"Streptococcus sanguinis",9,"Low iron","24",1.6e+08
"Streptococcus sanguinis",1,"High iron","24",1.2e+08
"Streptococcus sanguinis",2,"High iron","24",2.2e+08
"Streptococcus sanguinis",3,"High iron","24",1.8e+08
"Streptococcus sanguinis",4,"High iron","24",8e+07
"Streptococcus sanguinis",5,"High iron","24",1.8e+08
"Streptococcus sanguinis",6,"High iron","24",2e+08
"Streptococcus sanguinis",7,"High iron","24",1.8e+08
"Streptococcus sanguinis",8,"High iron","24",2.6e+08
"Streptococcus sanguinis",9,"High iron","24",2.8e+08
"Burkholderia orbicola",1,"Low iron","24",4e+06
"Burkholderia orbicola",2,"Low iron","24",1e+07
"Burkholderia orbicola",3,"Low iron","24",1.2e+07
"Burkholderia orbicola",4,"Low iron","24",2e+06
"Burkholderia orbicola",5,"Low iron","24",8e+06
"Burkholderia orbicola",6,"Low iron","24",8e+06
"Burkholderia orbicola",7,"Low iron","24",6e+06
"Burkholderia orbicola",8,"Low iron","24",1.4e+07
"Burkholderia orbicola",9,"Low iron","24",1.8e+07
"Burkholderia orbicola",1,"High iron","24",1.6e+07
"Burkholderia orbicola",2,"High iron","24",3.6e+07
"Burkholderia orbicola",3,"High iron","24",2.4e+07
"Burkholderia orbicola",4,"High iron","24",2.4e+07
"Burkholderia orbicola",5,"High iron","24",4.2e+07
"Burkholderia orbicola",6,"High iron","24",2.4e+07
"Burkholderia orbicola",7,"High iron","24",3.6e+07
"Burkholderia orbicola",8,"High iron","24",2.2e+07
"Burkholderia orbicola",9,"High iron","24",2.2e+07
